epoch,mean_episode_reward,mean_jain_index,total_policy_loss,total_value_loss
139,937.835239,0.794361,-1.281499,315.64465
140,900.701559,0.799287,-0.391487,329.179447
141,853.606951,0.789344,0.921296,285.280899
142,952.264328,0.784597,0.421818,301.768883
143,902.845787,0.809952,-0.493376,410.652
144,858.816459,0.759839,1.892736,342.258602
145,940.207356,0.798741,-0.76656,353.014423
146,1003.067133,0.810915,-2.613621,302.687763
147,884.43125,0.776936,0.701977,294.474861
148,856.196278,0.792559,1.593959,320.695232
149,948.134075,0.791343,-0.381477,448.191345
150,919.120042,0.779854,-0.508843,303.670788
151,934.021466590337,0.7770887139765763,0.13884553810069244,364.59198225632105
152,926.9968653486369,0.7724059748375927,1.7180583536080838,395.2893714224374
153,912.9126337705883,0.783257175709312,1.2546406607956215,376.6601812796271
154,920.1715019175693,0.744991570816156,-0.47027717171741124,354.1686801099882
155,889.7865683075366,0.7512765174680615,-1.378301247238622,297.67653205657655
156,933.7560313751833,0.7467609914583307,-1.3107730425506983,240.6866046080383
157,917.4245496394278,0.7489794432525281,-2.461766619973001,255.71452534186517
158,899.4053889418636,0.7431455682566626,-3.063473232202398,329.8056527222227
159,899.0004721997257,0.7219913496775445,-2.2409283200992087,280.97190672338184
160,905.2663800498683,0.682797947199949,-3.5691143689976395,288.84635615814676
161,927.4203774497306,0.6862253128237484,-3.68476265138588,276.8022083345752
162,883.0647177387078,0.6718284286558542,-4.145401422345667,319.0870973833318
163,893.3732664257617,0.6365676255485996,-3.8213174529508724,303.6838061666791
164,873.0656064165829,0.6488011513254169,-2.7903179304549215,340.93501093132704
165,847.8890807199037,0.6426169038083926,-2.4590544990513576,379.9568160162214
166,833.513853584545,0.6389037242751163,-3.565389473057386,332.1085510529946
167,857.889628256371,0.6660285248465327,-3.63739959463772,372.2498669686755
168,868.7387090078,0.6531261297544303,-3.276003989129306,433.7713296273143
169,867.6639278345015,0.6844190028707104,-5.895749093219051,466.64742980232324
170,870.2753398816466,0.6784388558613931,-5.803988316683548,387.14467321828755
171,863.6851832465212,0.685581107291628,-4.326094271942032,366.41386448734164
172,839.4303751597256,0.6755459664199372,-3.4106921542399578,379.563908873729
173,823.5375690467145,0.6858113150822044,-3.3136146048919173,418.30970849504456
174,802.4759762303938,0.679258072150249,-3.705722758024075,359.76911056975985
175,811.3595845423312,0.6844791775938468,-3.700609301381614,350.38562523475395
176,768.8984622808188,0.6760662711385396,-4.043323817908384,318.29453446588917
177,764.0598909308385,0.6841472882748303,-2.1571379166978533,325.27764697916274
178,771.7864026525215,0.6826583699595069,-4.0759091319968945,324.21709196119406
179,773.5933089507523,0.7319232122092126,-4.268270096778017,336.27898565453853
180,772.5519558595951,0.708549651456822,-3.1254472822629964,366.3563069620095
181,796.2829142708865,0.6903619023609272,-1.7226529713268972,310.2822644503183
182,813.8886270848947,0.7341710148771268,-2.7131892964575854,287.6303552662074
183,816.8781680375239,0.7241015017948028,-4.263852727523718,290.3728742584485
184,785.0090566257408,0.7335733504075065,-5.183276961757521,352.3702504591501
185,761.5114578556536,0.727132120083393,-4.369759744387851,303.13567780179187
186,768.3352558937775,0.7532749751690415,-5.977242978949079,310.521032143084
187,776.1317397212301,0.7689114326045877,-7.214193689827161,257.702767619713
188,791.789986689737,0.7748511260692514,-6.963700839481284,271.560695999592
189,771.3892450423823,0.7794962000124716,-6.670628366182602,242.98663927853727
190,827.362480376725,0.7889728584307073,-7.861931863385251,269.24878362389046
191,798.1220302699054,0.8047145505055563,-6.703336284377847,236.42149088982205
192,827.023314147235,0.8129701690442862,-5.881276124383357,312.29321019597995
193,819.661670667149,0.7978954457571364,-6.7707905540088795,279.6607987973624
194,817.3486193847259,0.8047184852534693,-6.49409975467886,312.7481287588034
195,817.7386761410631,0.8337891667966156,-6.7587565879168165,421.55489542238814
196,836.5086965740134,0.81664601566829,-7.829649085977929,440.85379203211556
197,829.8048130142379,0.8309260255501318,-7.356411461404384,437.94063552584066
198,804.4010014721857,0.8006290810564145,-7.802926413471405,472.19658729877955
199,810.8238137960918,0.7757143054821748,-7.629745487620223,487.609282487933
200,784.3080907100579,0.7787888076010854,-7.571536769174223,441.89047057470805
201,795.0417115205064,0.7900044981284501,-6.4884855259989465,484.04255265610414
202,753.7116304817937,0.7712479973301476,-5.973450258790287,504.5939906925925
203,769.1630610709751,0.848302627143242,-5.4025597480971195,550.0166162998165
204,797.7831139757711,0.861330452169358,-5.7178289927374655,580.3753851195472
205,774.598357539644,0.8565940800345578,-6.203192540566569,583.6503506950002
206,844.0381145398493,0.8192487761827228,-5.5169323501920555,519.141715847414
207,829.8801585661663,0.8410277881220701,-5.452652331096592,476.0319247302418
